Year of Project Year,Technology Mid-Type,Country,Technology Broad Category,Technology Sub-Type,Subsystem 1 - Technology Broad Category,Subsystem 1 - Technology Mid-Type,Subsystem 1 - Technology Sub-Type,Discharge Duration at Rated Power (hrs),Rated Capacity (kWh),Rated Power (kW),Storage Capacity (kWh)
2002,Latent heat,United States,Thermal energy storage,Ice,Thermal energy storage,Latent heat,Ice,9,1116,124,1116
2004,Latent heat,United States,Thermal energy storage,Ice,Thermal energy storage,Latent heat,Ice,8,1600,200,1600
2004,Latent heat,United States,Thermal energy storage,Ice,Thermal energy storage,Latent heat,Ice,6,18000,3000,18000
2007,Latent heat,United States,Thermal energy storage,Ice,Thermal energy storage,Latent heat,Ice,4.75,950,200,950
2008,Latent heat,United States,Thermal energy storage,Ice,Thermal energy storage,Latent heat,Ice,4.67,4156.3,890,4156.3
2008,Latent heat,United States,Thermal energy storage,Ice,Thermal energy storage,Latent heat,Ice,6,7200,1200,7200
2008,Latent heat,United States,Thermal energy storage,Ice,Thermal energy storage,Latent heat,Ice,6,27720,4620,27720
2008,Latent heat,United States,Thermal energy storage,Ice,Thermal energy storage,Latent heat,Ice,16,12000,750,12000
2008,Latent heat,United States,Thermal energy storage,Ice,Thermal energy storage,Latent heat,Ice,6,600,100,600
2008,Latent heat,United States,Thermal energy storage,Ice,Thermal energy storage,Latent heat,Ice,6,3600,600,3600
2008,Latent heat,United States,Thermal energy storage,Ice,Thermal energy storage,Latent heat,Ice,12,3000,250,3000
2010,Latent heat,United States,Thermal energy storage,Ice,Thermal energy storage,Latent heat,Ice,6,480,80,480
2010,Latent heat,United States,Thermal energy storage,Ice,Thermal energy storage,Latent heat,Ice,6,552,92,552
2010,Latent heat,Canada,Thermal energy storage,Ice,Thermal energy storage,Latent heat,Ice,4.67,70.05,15,70.05
2010,Latent heat,United States,Thermal energy storage,Ice,Thermal energy storage,Latent heat,Ice,4.67,70.05,15,70.05
2011,Latent heat,United States,Thermal energy storage,Ice,Thermal energy storage,Latent heat,Ice,15,15375,1025,15375
2011,Latent heat,Ireland,Thermal energy storage,Ice,Thermal energy storage,Latent heat,Ice,0,,4560,0
2011,Latent heat,United States,Thermal energy storage,Ice,Thermal energy storage,Latent heat,Ice,0,,1500,0
2012,Latent heat,United States,Thermal energy storage,Ice,Thermal energy storage,Latent heat,Ice,6,2250,375,2250
2012,Latent heat,United States,Thermal energy storage,Ice,Thermal energy storage,Latent heat,Ice,14,17500,1250,17500
2012,Latent heat,United States,Thermal energy storage,Ice,Thermal energy storage,Latent heat,Ice,16,22800,1425,22800
2012,Latent heat,United States,Thermal energy storage,Ice,Thermal energy storage,Latent heat,Ice,6,6000,1000,6000
2012,Latent heat,United States,Thermal energy storage,Ice,Thermal energy storage,Latent heat,Ice,6,4500,750,4500
2013,Latent heat,United States,Thermal energy storage,Ice,Thermal energy storage,Latent heat,Ice,6,120,20,120
2013,Latent heat,United States,Thermal energy storage,Ice,Thermal energy storage,Latent heat,Ice,4.67,177.46,38,177.46
2013,Latent heat,United States,Thermal energy storage,Ice,Thermal energy storage,Latent heat,Ice,4.67,210.15,45,210.15
2013,Latent heat,United States,Thermal energy storage,Ice,Thermal energy storage,Latent heat,Ice,4.67,177.46,38,177.46
2013,Latent heat,United States,Thermal energy storage,Ice,Thermal energy storage,Latent heat,Ice,6,450,75,450
2013,Latent heat,United States,Thermal energy storage,Ice,Thermal energy storage,Latent heat,Ice,6,144,24,144
2013,Latent heat,United States,Thermal energy storage,Ice,Thermal energy storage,Latent heat,Ice,6,28800,4800,28800
2013,Latent heat,United States,Thermal energy storage,Ice,Thermal energy storage,Latent heat,Ice,6,792,132,792
2013,Latent heat,United States,Thermal energy storage,Ice,Thermal energy storage,Latent heat,Ice,6,1230,205,1230
2013,Latent heat,United States,Thermal energy storage,Ice,Thermal energy storage,Latent heat,Ice,6,60,10,60
2013,Latent heat,United States,Thermal energy storage,Ice,Thermal energy storage,Latent heat,Ice,10,10000,1000,10000
2013,Latent heat,United States,Thermal energy storage,Ice,Thermal energy storage,Latent heat,Ice,6,1260,210,1260
2013,Latent heat,United States,Thermal energy storage,Ice,Thermal energy storage,Latent heat,Ice,6,60,10,60
2013,Latent heat,United States,Thermal energy storage,Ice,Thermal energy storage,Latent heat,Ice,6,60,10,60
2013,Latent heat,United States,Thermal energy storage,Ice,Thermal energy storage,Latent heat,Ice,6,120,20,120
2013,Latent heat,United States,Thermal energy storage,Ice,Thermal energy storage,Latent heat,Ice,6,120,20,120
2013,Latent heat,United States,Thermal energy storage,Ice,Thermal energy storage,Latent heat,Ice,6,240,40,240
2013,Latent heat,United States,Thermal energy storage,Ice,Thermal energy storage,Latent heat,Ice,0,,8,0
2013,Latent heat,United States,Thermal energy storage,Ice,Thermal energy storage,Latent heat,Ice,6,720,120,720
2013,Latent heat,United States,Thermal energy storage,Ice,Thermal energy storage,Latent heat,Ice,6,720,120,720
2013,Latent heat,United States,Thermal energy storage,Ice,Thermal energy storage,Latent heat,Ice,6,120,20,120
2013,Latent heat,United States,Thermal energy storage,Ice,Thermal energy storage,Latent heat,Ice,6,120,20,120
2013,Latent heat,United States,Thermal energy storage,Ice,Thermal energy storage,Latent heat,Ice,6,360,60,360
2013,Latent heat,United States,Thermal energy storage,Ice,Thermal energy storage,Latent heat,Ice,6,120,20,120
2013,Latent heat,United States,Thermal energy storage,Ice,Thermal energy storage,Latent heat,Ice,6,120,20,120
2013,Latent heat,United States,Thermal energy storage,Ice,Thermal energy storage,Latent heat,Ice,6,1020,170,1020
2013,Latent heat,United States,Thermal energy storage,Ice,Thermal energy storage,Latent heat,Ice,6,120,20,120
2013,Latent heat,United States,Thermal energy storage,Ice,Thermal energy storage,Latent heat,Ice,6,60,10,60
2013,Latent heat,United States,Thermal energy storage,Ice,Thermal energy storage,Latent heat,Ice,6,60,10,60
2013,Latent heat,United States,Thermal energy storage,Ice,Thermal energy storage,Latent heat,Ice,6,60,10,60
2013,Latent heat,United States,Thermal energy storage,Ice,Thermal energy storage,Latent heat,Ice,6,60,10,60
2013,Latent heat,United States,Thermal energy storage,Ice,Thermal energy storage,Latent heat,Ice,6,1260,210,1260
2013,Latent heat,United States,Thermal energy storage,Ice,Thermal energy storage,Latent heat,Ice,6,240,40,240
2013,Latent heat,United States,Thermal energy storage,Ice,Thermal energy storage,Latent heat,Ice,6,120,20,120
2013,Latent heat,United States,Thermal energy storage,Ice,Thermal energy storage,Latent heat,Ice,6,180,30,180
2013,Latent heat,United States,Thermal energy storage,Ice,Thermal energy storage,Latent heat,Ice,6,180,30,180
2013,Latent heat,United States,Thermal energy storage,Ice,Thermal energy storage,Latent heat,Ice,6,180,30,180
2013,Latent heat,United States,Thermal energy storage,Ice,Thermal energy storage,Latent heat,Ice,6,60,10,60
2013,Latent heat,United States,Thermal energy storage,Ice,Thermal energy storage,Latent heat,Ice,6,60,10,60
2013,Latent heat,United States,Thermal energy storage,Ice,Thermal energy storage,Latent heat,Ice,6,120,20,120
2013,Latent heat,United States,Thermal energy storage,Ice,Thermal energy storage,Latent heat,Ice,6,240,40,240
2013,Latent heat,United States,Thermal energy storage,Ice,Thermal energy storage,Latent heat,Ice,6,720,120,720
2013,Latent heat,United States,Thermal energy storage,Ice,Thermal energy storage,Latent heat,Ice,6,120,20,120
2013,Latent heat,United States,Thermal energy storage,Ice,Thermal energy storage,Latent heat,Ice,6,120,20,120
2013,Latent heat,United States,Thermal energy storage,Ice,Thermal energy storage,Latent heat,Ice,6,120,20,120
2013,Latent heat,United States,Thermal energy storage,Ice,Thermal energy storage,Latent heat,Ice,6,60,10,60
2013,Latent heat,United States,Thermal energy storage,Ice,Thermal energy storage,Latent heat,Ice,6,120,20,120
2013,Latent heat,United States,Thermal energy storage,Ice,Thermal energy storage,Latent heat,Ice,6,60,10,60
2013,Latent heat,United States,Thermal energy storage,Ice,Thermal energy storage,Latent heat,Ice,6,60,10,60
2013,Latent heat,United States,Thermal energy storage,Ice,Thermal energy storage,Latent heat,Ice,6,60,10,60
2013,Latent heat,United States,Thermal energy storage,Ice,Thermal energy storage,Latent heat,Ice,6,60,10,60
2013,Latent heat,United States,Thermal energy storage,Ice,Thermal energy storage,Latent heat,Ice,6,60,10,60
2013,Latent heat,United States,Thermal energy storage,Ice,Thermal energy storage,Latent heat,Ice,6,810,135,810
2014,Latent heat,United States,Thermal energy storage,Ice,Thermal energy storage,Latent heat,Ice,8,1800,225,1800
2014,Latent heat,United States,Thermal energy storage,Ice,Thermal energy storage,Latent heat,Ice,6,153600,25600,153600
2014,Latent heat,United States,Thermal energy storage,Ice,Thermal energy storage,Latent heat,Ice,8,1440,180,1440
2014,Latent heat,United States,Thermal energy storage,Ice,Thermal energy storage,Latent heat,Ice,8,160000,20000,160000
2014,Latent heat,United States,Thermal energy storage,Ice,Thermal energy storage,Latent heat,Ice,3,87,29,87
2014,Latent heat,United States,Thermal energy storage,Ice,Thermal energy storage,Latent heat,Ice,8,1768,221,1768
2015,Latent heat,United States,Thermal energy storage,Ice,Thermal energy storage,Latent heat,Ice,0,,8,0
2015,Latent heat,United States,Thermal energy storage,Ice,Thermal energy storage,Latent heat,Ice,0,,8,0
2015,Latent heat,United States,Thermal energy storage,Ice,Thermal energy storage,Latent heat,Ice,0,,8,0
2015,Latent heat,United States,Thermal energy storage,Ice,Thermal energy storage,Latent heat,Ice,0,,8,0
2015,Latent heat,United States,Thermal energy storage,Ice,Thermal energy storage,Latent heat,Ice,0,,8,0
2015,Latent heat,United States,Thermal energy storage,Ice,Thermal energy storage,Latent heat,Ice,0,,8,0
2015,Latent heat,United States,Thermal energy storage,Ice,Thermal energy storage,Latent heat,Ice,0,,8,0
2015,Latent heat,United States,Thermal energy storage,Ice,Thermal energy storage,Latent heat,Ice,0,,8,0
2015,Latent heat,United States,Thermal energy storage,Ice,Thermal energy storage,Latent heat,Ice,0,,8,0
2015,Latent heat,United States,Thermal energy storage,Ice,Thermal energy storage,Latent heat,Ice,0,,8,0
2015,Latent heat,United States,Thermal energy storage,Ice,Thermal energy storage,Latent heat,Ice,0,,8,0
2015,Latent heat,United States,Thermal energy storage,Ice,Thermal energy storage,Latent heat,Ice,0,,8,0
2015,Latent heat,United States,Thermal energy storage,Ice,Thermal energy storage,Latent heat,Ice,0,,8,0
2015,Latent heat,United States,Thermal energy storage,Ice,Thermal energy storage,Latent heat,Ice,0,,8,0
2015,Latent heat,United States,Thermal energy storage,Ice,Thermal energy storage,Latent heat,Ice,0,,8,0
2015,Latent heat,United States,Thermal energy storage,Ice,Thermal energy storage,Latent heat,Ice,0,,8,0
2015,Latent heat,United States,Thermal energy storage,Ice,Thermal energy storage,Latent heat,Ice,0,,8,0
2015,Latent heat,United States,Thermal energy storage,Ice,Thermal energy storage,Latent heat,Ice,0,,8,0
2015,Latent heat,United States,Thermal energy storage,Ice,Thermal energy storage,Latent heat,Ice,0,,8,0
2015,Latent heat,United States,Thermal energy storage,Ice,Thermal energy storage,Latent heat,Ice,0,,8,0
2015,Latent heat,United States,Thermal energy storage,Ice,Thermal energy storage,Latent heat,Ice,0,,8,0
2015,Latent heat,United States,Thermal energy storage,Ice,Thermal energy storage,Latent heat,Ice,0,,8,0
2015,Latent heat,United States,Thermal energy storage,Ice,Thermal energy storage,Latent heat,Ice,0,,8,0
2015,Latent heat,United States,Thermal energy storage,Ice,Thermal energy storage,Latent heat,Ice,0,,8,0
2015,Latent heat,United States,Thermal energy storage,Ice,Thermal energy storage,Latent heat,Ice,0,,8,0
2015,Latent heat,United States,Thermal energy storage,Ice,Thermal energy storage,Latent heat,Ice,0,,8,0
2015,Latent heat,United States,Thermal energy storage,Ice,Thermal energy storage,Latent heat,Ice,0,,8,0
2015,Latent heat,United States,Thermal energy storage,Ice,Thermal energy storage,Latent heat,Ice,0,,8,0
2015,Latent heat,United States,Thermal energy storage,Ice,Thermal energy storage,Latent heat,Ice,0,,8,0
2015,Latent heat,United States,Thermal energy storage,Ice,Thermal energy storage,Latent heat,Ice,0,,8,0
2015,Latent heat,United States,Thermal energy storage,Ice,Thermal energy storage,Latent heat,Ice,0,,8,0
2015,Latent heat,United States,Thermal energy storage,Ice,Thermal energy storage,Latent heat,Ice,0,,8,0
